epoch,train loss,train acc,test loss,test acc
0,0.13182746200917478,10.634,0.12740943618495054,12.9
1,0.11240677489247733,10.832,0.11401121641951378,10.69
2,0.10883355820047592,10.718,0.11107093351657944,10.02
3,0.10730298860875781,10.538,0.1335646639568637,15.7
4,0.10581047422362712,10.538,0.14203186829884848,11.49
5,0.10568798615602788,10.466,0.1205821464760135,9.85
6,0.1044357708675828,10.532,0.10983693471761664,10.52
7,0.1039750290687433,10.652,0.10319208195715239,12.72
8,0.10434381542857997,10.388,0.11302186443348124,11.48
9,0.10334409126836455,10.668,0.11105563672203006,10.33
10,0.10266306403583897,10.318,0.12429617300178065,10.02
11,0.1026357379042075,10.418,0.12799226078722212,13.44
12,0.10243316278428974,10.326,0.11911986580099722,10.07
13,0.10234572881746866,10.328,0.12375899592433313,10.33
14,0.10213390984133872,10.422,0.1303083168888333,11.42
15,0.10198590349040194,10.498,0.12490550330793014,10.07
16,0.10211672945944723,10.392,0.1142754935555988,10.25
17,0.10187748386589941,10.198,0.10658741727320835,10.02
18,0.10188269940669646,10.456,0.10825834174950917,10.1
19,0.10184327480131257,10.32,0.11279513957825574,10.24
20,0.10162810952904706,10.426,0.12392167032066018,10.16
21,0.1016156119938365,10.182,0.11181842836767736,10.0
22,0.10161011276359787,10.528,0.10625877983943381,10.33
23,0.10156895196390056,10.508,0.11127350306270098,9.87
24,0.10154046797620987,10.11,0.10488137693116159,10.1
25,0.10149006950174401,9.944,0.11209957617701906,10.14
26,0.10144074323898805,10.428,0.1113267300857438,10.01
27,0.10141481151561699,10.464,0.1115065176378597,11.57
28,0.10135585760962748,10.272,0.11175854616996014,9.93
29,0.10138463004975615,10.174,0.10722854138925822,10.01
30,0.10149395524081821,10.214,0.10909405079754916,10.66
31,0.10139854973506832,10.206,0.11236511622414444,15.3
32,0.10135529291832854,10.15,0.1103912711595044,10.03
33,0.10137304459103123,10.142,0.10734678669409319,10.81
34,0.10133351342293447,10.12,0.10718451033939015,10.08
35,0.10132435525586467,10.262,0.10403930982857039,13.79
36,0.10127780611863833,10.268,0.10394266338059396,10.56
37,0.10143946321729667,10.086,0.10408614304932681,10.02
38,0.10127103189846318,10.214,0.10547746228750306,9.93
39,0.10131417800166564,10.074,0.1062056648761335,10.14
40,0.10036493497406075,12.314,0.10199505534738001,17.86
41,0.10032180206988284,12.282,0.10315578874915537,13.99
42,0.10031319670901748,12.332,0.10360056658585866,14.39
43,0.10030505444876894,12.454,0.10162098615458517,12.89
44,0.10030062433951842,12.13,0.10339465443835114,15.85
45,0.10030660237781032,12.11,0.10178480523102211,9.94
46,0.1003004117964026,11.802,0.10272237906853358,14.63
47,0.10029449291482478,12.038,0.10333308457124113,14.4
48,0.10029289244351262,12.228,0.10239768637852235,10.28
49,0.1002944806564547,11.7,0.10209735573241205,15.25
50,0.10029253096343999,12.09,0.10289340684510241,12.4
51,0.10029120431216303,11.614,0.10260301060748822,15.45
52,0.10029128110241556,11.774,0.10266068457352995,14.1
53,0.10029100362427966,11.736,0.10294782069295344,11.24
54,0.10029059620144849,11.522,0.10206978399344165,15.9
55,0.10029155281717649,11.552,0.10197314153415989,11.93
56,0.10028704028867767,11.37,0.10208384542152135,10.67
57,0.10029433587032234,11.404,0.10238614919209721,12.47
58,0.10029497063291336,11.408,0.10152752780252033,11.75
59,0.10028496071069179,11.484,0.10298657319461456,14.16
60,0.10029058522714641,11.28,0.10552831408050325,13.32
61,0.10028449979000435,11.526,0.10228983945015704,10.2
62,0.10029193025851298,11.002,0.10253057388043163,13.57
63,0.10028588331354883,11.102,0.10240751384484648,10.04
64,0.10028367588121093,11.438,0.10226923874532333,10.56
65,0.10029162999563561,10.754,0.10339302614782796,15.64
66,0.10029337349121939,11.236,0.10294173221395474,12.81
67,0.10028853006138352,11.218,0.10263839439310209,10.6
68,0.10028812495286096,10.984,0.1029765106210805,11.8
69,0.10028374051761053,11.228,0.10227933909856912,12.85
70,0.10028650550421828,10.582,0.10197070572111341,10.45
71,0.1002867382788706,11.012,0.10340235833868835,14.31
72,0.10028698683561448,11.106,0.10216390966164945,10.25
73,0.10028883044370908,10.674,0.10310377564394113,13.51
74,0.10028668222780934,11.126,0.1033279358437567,10.73
75,0.10029304560594902,10.642,0.10322716636489136,14.82
76,0.10028671756954136,11.026,0.10230339416349778,12.99
77,0.10028075595537503,11.282,0.10224331772387629,11.22
78,0.1002810475433279,11.116,0.10313261014343512,10.66
79,0.10028656310810594,11.322,0.10220494670699341,11.71
