epoch,train loss,train acc,test loss,test acc
0,0.40760784266229144,29.26,0.23902001766243366,41.82
1,0.2627580912563509,40.704,0.06629823326166118,54.88
2,0.17068551845507013,47.77,-0.004374868496946727,60.06
3,0.11732048295855425,51.724,-0.061211343357401825,64.28
4,0.0758438057779488,54.896,-0.12498482894810914,68.8
5,0.04316938409867803,57.334,-0.10589788340483651,67.87
6,0.0172597397148144,59.266,-0.17879802633942377,72.66
7,-0.004257979227716903,60.744,-0.14639060912333957,70.65
8,-0.02136038204486534,62.098,-0.1817785973162061,72.86
9,-0.031171945196714995,62.838,-0.23387800119440966,76.84
10,-0.04647261438737782,63.944,-0.196907448008506,74.19
11,-0.055798498669091916,64.65,-0.24541769154144055,77.67
12,-0.07051351379035958,65.758,-0.26664161697180583,79.29
13,-0.07653206201080785,66.198,-0.2920009186773589,81.07
14,-0.0817955045044627,66.532,-0.28854286670684814,80.8
15,-0.0916553184493725,67.298,-0.26324863400724197,78.99
16,-0.09632703821945965,67.54,-0.2995414064087049,81.56
17,-0.10702485808209593,68.534,-0.3024458535993942,81.59
18,-0.10788338361653259,68.57,-0.3168825034541313,82.93
19,-0.11434025541244201,68.984,-0.32835042928204394,83.78
20,-0.11815530754311313,69.27,-0.33809854165472164,84.24
21,-0.12489206076530601,69.774,-0.314430712599947,82.65
22,-0.12787432755184508,70.032,-0.32829651055913983,83.54
23,-0.13089840848116438,70.246,-0.3348258538077576,84.06
24,-0.13446993507418728,70.464,-0.3563522405997671,85.76
25,-0.14077474179823243,70.926,-0.35924699435932467,86.02
26,-0.14129899379672234,70.988,-0.3113697643833931,82.36
27,-0.1436380796914093,71.128,-0.3462883805987811,84.93
28,-0.1475089810964071,71.456,-0.3445338007777628,84.75
29,-0.15149812084489744,71.774,-0.350696212565056,85.21
30,-0.15336690665076194,71.952,-0.3605965278064362,86.01
31,-0.15588961678831456,72.078,-0.36565126779705587,86.32
32,-0.16244153619253027,72.554,-0.3690566020180481,86.61
33,-0.16342252056732146,72.614,-0.3613232526213232,85.92
34,-0.168081414764971,72.974,-0.36201135106761045,86.04
35,-0.16954437255689533,73.068,-0.37033816720500135,86.58
36,-0.1702409452751264,73.082,-0.35669012759069,85.74
37,-0.17137843893210072,73.222,-0.36716423672859116,86.4
38,-0.17716464792324121,73.6,-0.38020454813735655,87.27
39,-0.37093121117962624,73.908,-0.2634049720234341,85.07
40,-0.3777551943051791,74.846,-0.30188706803201426,89.18
41,-0.3848774341160883,75.672,-0.30543788394542654,89.51
42,-0.38655609842053873,75.976,-0.3072013087344892,89.63
43,-0.38761880665360565,76.0,-0.308383374202131,89.81
44,-0.3876904056282464,75.864,-0.3078359222472316,89.73
45,-0.38906829372675483,76.136,-0.3083829694625103,89.79
46,-0.3901827217701203,76.296,-0.30797483162446454,89.78
47,-0.3906602307646451,76.27,-0.3079597037850004,89.65
48,-0.39200677667447703,76.45,-0.3102049133693329,89.86
49,-0.40053812427845653,76.43,-0.3225112873496431,89.83
50,-0.4007400590217185,76.45,-0.3243311404278784,90.26
51,-0.40157367154687107,76.53,-0.32502347456686426,90.16
52,-0.40285767110172876,76.604,-0.32321561376253766,90.02
53,-0.4034386983734811,76.728,-0.3234909897801852,90.12
54,-0.40457540929675817,76.876,-0.3219803005757958,89.96
55,-0.40477313599987835,76.884,-0.3232443162588158,90.05
56,-0.4059139892070709,76.922,-0.3252746828577735,90.26
57,-0.4064283078920865,76.95,-0.3249466319878896,90.22
58,-0.40553791298417147,76.964,-0.32531297417602156,90.33
59,-0.4081164097379826,77.092,-0.32919268415431785,90.34
