epoch,train loss,train acc,test loss,test acc
0,0.5682282550540382,16.054,0.31732236616539233,37.58
1,0.5317968353479802,20.066,0.2190224862459934,44.13
2,0.5109059360318767,22.276,0.19867400328318277,45.77
3,0.4901682463342059,24.234,0.08537283499261854,54.01
4,0.4735839145336457,25.724,0.04569048734882734,57.73
5,0.4629460407760674,26.672,0.018635895498910673,59.75
6,0.45222104849939593,27.716,0.015542726341112884,59.82
7,0.4416275139681562,28.442,-0.030698175867527048,63.44
8,0.43339900824732197,29.364,-0.07541526931839539,66.53
9,0.42655383567055144,29.89,-0.08519234430430589,66.74
10,0.4188837577740033,30.638,-0.05625608440540317,64.78
11,0.41254645812965346,31.148,-0.13838613502483701,70.75
12,0.4059050409253948,31.706,-0.1394867437610619,70.78
13,0.4013793264816185,32.074,-0.1438549661025819,70.52
14,0.39610135459708784,32.544,-0.16201146969552896,72.13
15,0.39245550585294775,32.842,-0.18077616585475026,73.57
16,0.38757313979054264,33.154,-0.19071546535600314,74.56
17,0.3834958239822445,33.418,-0.1687570560083847,72.76
18,0.3795481594746003,33.886,-0.18536654529114716,74.07
19,0.37720045369708227,34.032,-0.21971528482331773,76.52
20,0.3738663951476256,34.25,-0.20809642039239407,75.51
21,0.3718463928701882,34.47,-0.19121453997613203,74.2
22,0.36869912327291493,34.692,-0.18079128882417342,73.32
23,0.3647590524597254,34.966,-0.22155907245898487,76.53
24,0.3630467369286474,35.194,-0.20945433897878787,75.77
25,0.35844076477095693,35.552,-0.23183044937975478,77.02
26,0.3582830357706857,35.606,-0.22060370768862542,76.65
27,0.3560269307158514,35.772,-0.21128886110252804,75.64
28,0.3530532153610715,35.898,-0.20209930440166382,74.92
29,0.35216121784670795,36.014,-0.24798374939145465,78.32
30,0.348684943152334,36.322,-0.2260942461176051,76.42
31,0.34697635083614226,36.422,-0.2141272434306265,75.81
32,0.3453902909326888,36.584,-0.22058524142461594,76.23
33,0.34254507826480696,36.802,-0.23813447047664663,77.53
34,0.3396124768711044,36.928,-0.19039679273511423,74.3
35,0.3396139038887196,36.992,-0.20725128630345518,75.21
36,0.3378955101023217,37.11,-0.2618604717832623,79.38
37,0.3335693751523394,37.422,-0.21607392597379108,76.39
38,0.3325865719624177,37.566,-0.2355039051987908,77.15
39,-0.14982877144653478,38.158,-0.06840512005969732,72.99
40,-0.16490594629116193,38.874,-0.11630412161049217,81.67
41,-0.17660276744074238,39.656,-0.11907300996509465,81.89
42,-0.17861812614008993,39.716,-0.11839380167951488,81.88
43,-0.18087539091736138,39.838,-0.11892044047514598,81.95
44,-0.1824003721854252,39.816,-0.12049179987022371,82.36
45,-0.18369263234382163,39.986,-0.11957305410143101,82.04
46,-0.18484936214102532,40.164,-0.1191897624445082,81.96
47,-0.1858240057208495,40.17,-0.11836463973076657,81.8
48,-0.18678908247149778,40.198,-0.11932237028624072,81.98
49,-0.19406179664189926,40.32,-0.12697098246126465,81.81
50,-0.19461362102705396,40.32,-0.12839721312577074,82.18
51,-0.19617658193579657,40.504,-0.1272342016149049,82.12
52,-0.1967006400376857,40.554,-0.12849677643842167,82.15
53,-0.19857229668654516,40.772,-0.12906981963250372,82.19
54,-0.19814534731702002,40.798,-0.1280014557067794,82.18
55,-0.19990305011281986,40.858,-0.12851811057389384,82.33
56,-0.20083184476068358,40.93,-0.12629195201126012,81.83
57,-0.20088369429171204,40.916,-0.12928433930783562,82.3
58,-0.20133533593050704,40.878,-0.12801138496007583,82.23
59,-0.2000429575631996,40.968,-0.12869655833852411,82.3
60,-0.19879325791327412,40.94,-0.12717961282892662,81.94
61,-0.20106930800812517,41.154,-0.12776738965902665,82.07
62,-0.20167953056658436,41.046,-0.12831206521903626,82.16
63,-0.20190347014424317,41.116,-0.12749732951774742,82.1
64,-0.20250979543687825,41.158,-0.12799463880182516,81.9
65,-0.20354329163063026,41.166,-0.12797606973485512,81.93
66,-0.20465666148251666,41.238,-0.12709911099889062,81.74
67,-0.20420464707579547,41.404,-0.1275141133804514,81.97
68,-0.20482554773469727,41.348,-0.12607953204500555,81.82
69,-0.20249405981065755,41.262,-0.1262937845154242,81.81
70,-0.2028085797845959,41.332,-0.12656049753981408,81.86
71,-0.20323602065354407,41.352,-0.12658866882474737,81.88
72,-0.20371674023613423,41.304,-0.12656304368166008,81.66
73,-0.20479666744778774,41.404,-0.12666793039651833,81.68
74,-0.20500941514849425,41.47,-0.12586869750962112,81.86
75,-0.20553015127688468,41.472,-0.12724655599455642,81.92
76,-0.2060552294065575,41.522,-0.12628044259518084,81.89
77,-0.20588645851146242,41.456,-0.12640803529307096,81.9
78,-0.2067079824322689,41.616,-0.12640294538001823,81.88
79,-0.2053683467791649,41.592,-0.12552011152259027,81.77
